idx,inc,ticks,time_ms
0,16384,1.0000,1.00
1,8192,2.0000,5.20
2,4096,4.0000,13.60
3,2730,6.0015,22.01
4,2048,8.0000,30.40
5,1638,10.0024,38.81
6,1365,12.0029,47.21
7,1170,14.0034,55.61
8,1024,16.0000,64.00
9,910,18.0044,72.42
10,819,20.0049,80.82
11,745,21.9919,89.17
12,683,23.9883,97.55
13,630,26.0063,106.03
14,585,28.0068,114.43
15,546,30.0073,122.83
16,512,32.0000,131.20
17,482,33.9917,139.57
18,455,36.0088,148.04
19,431,38.0139,156.46
20,409,40.0587,165.05
21,390,42.0103,173.24
22,372,44.0430,181.78
23,356,46.0225,190.09
24,341,48.0469,198.60
25,328,49.9512,206.60
26,315,52.0127,215.25
27,303,54.0726,223.90
28,292,56.1096,232.46
29,282,58.0993,240.82
30,273,60.0147,248.86
31,264,62.0606,257.45
32,256,64.0000,265.60
33,248,66.0645,274.27
34,241,67.9834,282.33
35,234,70.0171,290.87
36,228,71.8596,298.61
37,221,74.1357,308.17
38,216,75.8519,315.38
39,210,78.0190,324.48
40,205,79.9220,332.47
41,200,81.9200,340.86
42,195,84.0205,349.69
43,191,85.7801,357.08
44,186,88.0860,366.76
45,182,90.0220,374.89
46,178,92.0449,383.39
47,174,94.1609,392.28
48,171,95.8129,399.21
49,167,98.1078,408.85
50,164,99.9024,416.39
51,161,101.7640,424.21
52,158,103.6962,432.32
53,155,105.7032,440.75
54,152,107.7895,449.52
55,149,109.9597,458.63
56,146,112.2192,468.12
57,144,113.7778,474.67
58,141,116.1986,484.83
59,139,117.8705,491.86
60,137,119.5912,499.08
61,134,122.2687,510.33
62,132,124.1212,518.11
63,130,126.0308,526.13
64,127,129.0079,538.63
65,125,131.0720,547.30
66,122,134.2951,560.84
67,119,137.6807,575.06
68,116,141.2414,590.01
69,114,143.7193,600.42
70,111,147.6036,616.74
71,108,151.7037,633.96
72,105,156.0381,652.16
73,103,159.0680,664.89
74,100,163.8400,684.93
75,97,168.9072,706.21
76,94,174.2979,728.85
77,92,178.0870,744.77
78,89,184.0899,769.98
79,86,190.5116,796.95
80,83,197.3976,825.87
81,80,204.8000,856.96
82,78,210.0513,879.02
83,75,218.4533,914.30
84,72,227.5556,952.53
85,69,237.4493,994.09
86,66,248.2424,1039.42
87,64,256.0000,1072.00
88,63,260.0635,1089.07
89,61,268.5902,1124.88
90,60,273.0667,1143.68
91,58,282.4828,1183.23
92,57,287.4386,1204.04
93,55,297.8909,1247.94
94,54,303.4074,1271.11
95,52,315.0769,1320.12
96,51,321.2549,1346.07
97,49,334.3673,1401.14
98,48,341.3333,1430.40
99,46,356.1739,1492.73
100,45,364.0889,1525.97
101,43,381.0233,1597.10
102,42,390.0952,1635.20
103,40,409.6000,1717.12
104,39,420.1026,1761.23
105,37,442.8108,1856.61
106,36,455.1111,1908.27
107,34,481.8824,2020.71
108,33,496.4848,2082.04
109,33,496.4848,2082.04
110,32,512.0000,2147.20
111,32,512.0000,2147.20
112,31,528.5161,2216.57
113,31,528.5161,2216.57
114,30,546.1333,2290.56
115,30,546.1333,2290.56
116,29,564.9655,2369.66
117,29,564.9655,2369.66
118,28,585.1429,2454.40
119,28,585.1429,2454.40
120,27,606.8148,2545.42
121,27,606.8148,2545.42
122,26,630.1538,2643.45
123,25,655.3600,2749.31
124,24,682.6667,2864.00
125,23,712.3478,2988.66
126,22,744.7273,3124.65
127,21,780.1905,3273.60
